School Year,County Number,County Name,District Number,District Name,School Number,School Name,School Code,State School Id,NCES ID,CO-OP,CO-OP Code,School Type,Federal Classification,Level,Title 1,Number Of Years Identified,Reason For Federal Classification
20242025,105,SCOTT,525,Scott County,070,Southern Elementary School,525070,105525070,210526000000,CKEC,901,A1,ATSI,Elementary School,Y,4,Disability
20242025,105,SCOTT,525,Scott County,080,Western Elementary School,525080,105525080,210526000000,CKEC,901,A1,TSI,Elementary School,Y,,English Learners plus Monitored
20242025,106,SHELBY,531,Shelby County,014,Painted Stone Elementary,531014,106531014,210532000000,OVEC,906,A1,ATSI,Elementary School,Y,4,English Learners plus Monitored
20242025,106,SHELBY,531,Shelby County,040,Martha Layne Collins High School,531040,106531040,210532000000,OVEC,906,A1,ATSI,High School,N,4,English Learners plus Monitored
20242025,106,SHELBY,531,Shelby County,054,Marnel C. Moorman School,531054,106531054,210532000000,OVEC,906,A1,ATSI,Middle School,Y,4,English Learners plus Monitored; Disability
20242025,106,SHELBY,531,Shelby County,080,Shelby County West Middle School,531080,106531080,210532000000,OVEC,906,A1,ATSI,Middle School,N,4,Hispanic; English Learners plus Monitored; Disability
20242025,106,SHELBY,531,Shelby County,110,Shelby County East Middle School,531110,106531110,210532000000,OVEC,906,A1,ATSI,Middle School,N,4,English Learners plus Monitored; Disability
20242025,106,SHELBY,531,Shelby County,120,Clear Creek Elementary,531120,106531120,210532000000,OVEC,906,A1,ATSI,Elementary School,Y,4,Disability
20242025,106,SHELBY,531,Shelby County,130,Wright Elementary,531130,106531130,210532000000,OVEC,906,A1,TSI,Elementary School,Y,,Disability
20242025,107,SIMPSON,535,Simpson County,030,Franklin-Simpson Middle School,535030,107535030,210540000000,GRREC,902,A1,ATSI,Middle School,Y,4,Disability
20242025,112,TRIMBLE,561,Trimble County,010,Bedford Elementary School,561010,112561010,210561000000,OVEC,906,A1,CSI,Elementary School,Y,1,Bottom 5%
20242025,112,TRIMBLE,561,Trimble County,020,Milton Elementary School,561020,112561020,210561000000,OVEC,906,A1,CSI,Elementary School,Y,1,Bottom 5%
20242025,113,UNION,565,Union County,055,Union County Middle School,565055,113565055,210564000000,WKEC,908,A1,ATSI,Middle School,Y,4,Disability
20242025,114,WARREN,571,Warren County,175,Henry F. Moss Middle School,571175,114571175,210573000000,GRREC,902,A1,ATSI,Middle School,Y,4,English Learners plus Monitored; Disability
20242025,114,WARREN,571,Warren County,200,Warren Elementary,571200,114571200,210573000000,GRREC,902,A1,CSI,Elementary School,Y,1,Bottom 5%
20242025,116,WAYNE,581,Wayne County,051,Wayne County Middle School,581051,116581051,210579000000,SESC,907,A1,ATSI,Middle School,Y,4,Disability
20242025,116,WAYNE,581,Wayne County,190,Monticello Elementary School,581190,116581190,210579000000,SESC,907,A1,TSI,Elementary School,Y,,Disability
20242025,116,WAYNE,581,Wayne County,200,Wayne County High School,581200,116581200,210579000000,SESC,907,A1,TSI,High School,N,,English Learners plus Monitored
20242025,116,WAYNE,581,Wayne County,437,Bell Elementary School,581437,116581437,210579000000,SESC,907,A1,TSI,Elementary School,Y,,Disability
